Match,Team_Name,Match_Result,Player_Name,Hero_Name,Lane,Kill,Death,Assist,Net Worth,Last_Hit,GPM,XPM,DMG,Item1,Time1,Item2,Time2,Item3,Time3,Item4,Time4,Item5,Time5,Item6,Time6
45,Evil Geniuses,1,EG.Cr1t-,Earthshaker,Roaming,2,7,18,9.2,68,330,377,12.6,Tranquil Boots,4.0,Soul Ring,9.0,Magic Stick,9.0,Force Staff,19.0,Blink Dagger,26.0,,
46,Evil Geniuses,0,EG.Arteezy,Drow Ranger,Safe Lane,1,4,5,11.8,194,458,461,3.9,Wraith Band,2.0,Power Treads,6.0,Wraith Band,9.0,Dragon Lance,14.0,Yasha,18.0,Black King Bar,22.0
46,Evil Geniuses,0,EG.Suma1L,Templar Assassin,Mid Lane,10,7,1,11.5,228,535,548,18.8,Wraith Band,1.0,Clarity,5.0,Magic Wand,5.0,Power Treads,8.0,Desolator,17.0,Hurricane Pike,21.0
46,Evil Geniuses,0,EG.Fly,Bane,Safe Lane,3,9,7,1.2,21,218,195,4.1,Magic Stick,0.0,Observer and Sentry Wards,2.0,Boots of Speed,10.0,Wind Lace,15.0,,,,
46,Evil Geniuses,0,EG.s4,Centaur Warrunner,Off Lane,-,8,6,5.5,82,265,326,6.8,Quelling Blade,1.0,Phase Boots,8.0,Magic Stick,9.0,Blink Dagger,16.0,Cloak,21.0,,
46,Evil Geniuses,0,EG.Cr1t-,Earth Spirit,Safe Lane,1,7,10,4.1,29,205,253,9.3,Boots of Speed,3.0,Clarity,3.0,Magic Wand,14.0,Spirit Vessel,21.0,,,,
47,Evil Geniuses,0,EG.Arteezy,Phantom Assassin,Safe Lane,6,5,4,11.8,214,450,390,13.1,Wraith Band,2.0,Magic Wand,7.0,Power Treads,9.0,Vladmir's Offering,16.0,Black King Bar,24.0,Demon Edge,28.0
47,Evil Geniuses,0,EG.Suma1L,Razor,Mid Lane,3,3,4,9.2,195,354,304,15.2,Wraith Band,2.0,Wraith Band,5.0,Magic Wand,7.0,Power Treads,11.0,Drum of Endurance,13.0,Black King Bar,22.0
47,Evil Geniuses,0,EG.Fly,Oracle,Safe Lane,-,5,12,1.8,17,150,174,4.4,Tango,3.0,Boots of Speed,4.0,Observer and Sentry Wards,10.0,Magic Wand,25.0,,,,
47,Evil Geniuses,0,EG.s4,Dark Seer,Jungle,1,4,6,9.8,197,354,350,14.6,Soul Ring,2.0,Vanguard,6.0,Quelling Blade,7.0,Magic Wand,12.0,Guardian Greaves,23.0,,
47,Evil Geniuses,0,EG.Cr1t-,Magnus,Safe Lane,1,4,7,3.8,37,157,251,2.8,Blink Dagger,18.0,Magic Wand,23.0,,,,,,,,
48,Evil Geniuses,0,EG.Arteezy,Lifestealer,Safe Lane,7,5,16,22.3,375,632,671,26.0,Phase Boots,5.0,Radiance,19.0,Armlet of Mordiggian,22.0,Assault Cuirass,30.0,Monkey King Bar,35.0,Mithril Hammer,43.0
48,Evil Geniuses,0,EG.Suma1L,Windranger,Mid Lane,10,3,11,19.6,297,487,548,25.1,Boots of Speed,7.0,Maelstrom,15.0,Monkey King Bar,21.0,Blink Dagger,26.0,Black King Bar,33.0,Aghanim's Scepter,38.0
48,Evil Geniuses,0,EG.Fly,Shadow Demon,Safe Lane,3,13,13,5.4,60,246,304,7.8,Magic Stick,0.0,Observer and Sentry Wards,5.0,Smoke of Deceit,7.0,Aether Lens,21.0,Tranquil Boots,30.0,,
48,Evil Geniuses,0,EG.s4,Doom,Off Lane,4,3,16,20.5,207,526,580,25.7,Phase Boots,6.0,Drum of Endurance,11.0,Blink Dagger,16.0,Black King Bar,23.0,Shiva's Guard,37.0,Refresher Orb,43.0
48,Evil Geniuses,0,EG.Cr1t-,Earth Spirit,Safe Lane,6,10,18,7.9,34,264,322,19.2,Magic Wand,13.0,Spirit Vessel,21.0,Dust of Appearance,30.0,Arcane Boots,32.0,Mekansm,36.0,,
49,Evil Geniuses,1,EG.Arteezy,Sven,Off Lane,12,0,7,19.4,298,680,722,20.9,Power Treads,3.0,Echo Sabre,10.0,Black King Bar,15.0,Blink Dagger,18.0,Assault Cuirass,25.0,Aegis of the Immortal,26.0
49,Evil Geniuses,1,EG.Suma1L,Windranger,Mid Lane,9,2,11,13.7,201,513,540,23.3,Null Talisman,1.0,Javelin,5.0,Magic Wand,8.0,Maelstrom,13.0,Black King Bar,21.0,Phase Boots,25.0
49,Evil Geniuses,1,EG.Fly,Bane,Off Lane,2,4,18,3.3,25,255,358,7.6,Smoke of Deceit,4.0,Magic Wand,8.0,Wind Lace,9.0,Observer and Sentry Wards,10.0,Dust of Appearance,18.0,Arcane Boots,21.0
